Project Type,Budget Line,Budget Line Title,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount,Total Budget $
CO,CO 0293,851 GRAND CONCOURSE - BRONX SUPREME COURT BUILDING,2019,42289889,11955000,12000000,0,66244889
CO,CO 0294,215 EAST 161ST ST. - BRONX  CRIMINAL/FAMILY COURT BUILDING,2019,0,0,3183038,0,3183038
CO,CO 0295,1118 GRAND CONCOURSE - BRONX HOUSING COURT,2019,0,6699000,362000,0,7061000
CO,CO 0296,125-01 QUEENS BLVD. - QUEENS CRIMINAL COURTS BUILDING,2019,0,14581000,0,0,14581000
CO,CO 0299,89-17 SUTPHIN BLVD. - QUEENS COURT FACILITY,2019,6810778,2034000,0,0,8844778
CO,CO 0300,88-11 SUTPHIN BLVD. - QUEENS SUPREME COURT BUILDING,2019,9308894,0,0,0,9308894
CO,CO 0301,130 STUYVESANT PL. - STATEN ISLAND JUDICIAL CENTER,2019,611418,17436000,2843000,0,20890418
CO,CO 0302,18 RICHMOND TERR. - STATEN ISLAND COURT,2019,2420997,0,0,0,2420997
CO,CO 0304,60 CENTRE ST. - MANHATTAN SUPREME COURT BUILDING,2019,0,9950738,42827000,0,52777738
CO,CO 0305,"315 WEST 54TH STREET, MANHATTAN MIDTOWN COMMUNITY COURT",2019,249316,0,0,0,249316
CO,CO 0306,"170 EAST 121TH STREET, HARLEM COMMUNITY COURT",2019,0,798000,0,0,798000
CS,CS 0002,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACS, CITYWIDE",2019,5936675,1267000,1267000,1267000,9737675
CS,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",2019,5749693,0,0,2777000,8526693
CS,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",2019,2567429,0,0,0,2567429
CS,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",2019,6819673,0,0,0,6819673
CS,CS 0004,"EQUIPMENT FOR  ACS, CITYWIDE",2019,0,0,10633734,3500000,14133734
CS,CS 0005,"ACQUISITION AND CONSTRUCTION FOR YOUTH AND FAMILY JUSTICE, CITYWIDE",2019,0,1174969,2336000,0,3510969
DP,DP 0001,PURCHASE OF EDP EQUIPMENT FOR DoITT & DESIGN/INSTALL/IMPLEMENT CITYNET,2019,11912718,67923000,63502000,53183000,196520718
E,E  2361,FIVE YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,2019,372,0,0,0,372
E,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,2019,3338029787,1970569000,1296489000,2165569000,8770656787
E,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,2019,198141000,0,744080000,0,942221000
E,E  2500,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",2019,0,0,0,0,0
E,E  2500,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",2019,613,0,0,0,613
ED,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",2019,54993142,300112000,239549000,15264000,609918142
ED,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",2019,6793151,94273000,10000000,0,111066151
ED,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",2019,431825,0,0,0,431825
ED,ED 0319,BROOKLYN NAVY YARD,2019,0,1924808,35546000,15000000,52470808
ED,ED 0373,BROOKLYN ARMY TERMINAL,2019,38005121,47010000,22000000,1809000,108824121
ED,ED 0380,"INDUSTRIAL AND COMMERCIAL DEVELOPMENT, ALL BOROUGHS",2019,8782868,6010000,0,0,14792868
ED,ED 0384,"NEIGHBORHOOD REDEVELOPMENT, CITYWIDE",2019,65467205,265563000,164074000,50324000,545428205
ED,ED 0387,"SOUTH ST, SEAPORT, SITE IMPROVEMENTS, MANHATTAN",2019,0,7,0,0,7
ED,ED 0404,"ECONOMIC DEVELOPMENT FOR INDUSTRIAL, WATERFRONT AND COMMERCIAL PURPOSE",2019,15500367,35560000,10000000,0,61060367
ED,ED 0408,"MODERNIZATION, RECONSTRUCTION, MARKETS",2019,540027,1155000,0,30000000,31695027
ED,ED 0409,"MODERNIZATION, RECONSTRUCTION, PIERS, CITYWIDE",2019,0,45456434,23636000,0,69092434
ED,ED 0410,INTERNATIONAL BUSINESS DEVELOPMENT,2019,88914530,7093000,0,0,96007530
ED,ED 0831,TRUST FOR GOVERNORS ISLAND,2019,25508018,8576000,6375000,4000000,44459018
ED,ED 0831,TRUST FOR GOVERNORS ISLAND,2019,3039000,0,0,0,3039000
ED,ED KN676,STATE UNIVERSITY OF NEW YORK - BIOBAT,2019,475,0,0,0,475
ED,ED KN776,PRATT INSTITUTE,2019,175,0,0,0,175
ED,ED M075,"ACQUISTION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, MANHATTAN",2019,0,300,0,0,300
EP,EP 0004,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF ENVIRONMENTAL PROTECTION,2019,0,6385556,3260000,4214000,13859556
EP,EP 0005,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.,2019,0,29139312,47787000,20000000,96926312
EP,EP 0005,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.,2019,1708,0,0,0,1708
EP,EP 0006,ACQUISITION/RECON/CON LEASED & OWNED FACILITIES BY DEP,2019,0,0,19800516,8300000,28100516
EP,EP 0006,ACQUISITION/RECON/CON LEASED & OWNED FACILITIES BY DEP,2019,4591242,0,38550000,0,43141242
EP,EP 0007,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",2019,249000,0,0,0,249000
EP,EP 0007,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",2019,10758620,19909000,23000000,12000000,65667620
F,F  0001,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",2019,7080416,10195000,727000,700000,18702416
F,F  0001,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",2019,10021954,0,0,0,10021954
F,F  0109,"VEHICLE ACQUISITION, CITYWIDE",2019,62607337,55151000,81551000,44964000,244273337
F,F  0175,"FACILITY IMPROVEMENTS, CITYWIDE",2019,22286736,62750000,25000000,25000000,135036736
F,F  0204,NEW TRAINING CENTER FOR THE NEW YORK FIRE DEPARTMENT,2019,2195260,0,0,0,2195260
F,F  0212,MANAGEMENT INFORMATION AND CONTROL SYSTEM (MICS),2019,24399883,13000000,13050000,13000000,63449883
FA,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",2019,14656763,107131000,10124000,2256000,134167763
FA,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",2019,0,28234472,0,4144000,32378472
FA,FA 0026,FERRY MAINTENANCE FACILITY,2019,0,0,812801,0,812801
FA,FA 0026,FERRY MAINTENANCE FACILITY,2019,1077000,2880000,0,0,3957000
FA,FA 0026,FERRY MAINTENANCE FACILITY,2019,0,360000,0,0,360000
FA,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",2019,0,0,0,0,0
FA,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",2019,5777152,8136000,0,0,13913152
HA,HA 0001,HOUSING AUTHORITY CITY CAPITAL SUBSIDIES,2019,243069484,199965000,126884000,137500000,707418484
HA,HA M001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, MANHATTAN",2019,100000,0,0,0,100000
HA,HA Q001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, QUEENS",2019,74,0,0,0,74
HB,HB 0061,LAND ACQUISITION FOR HIGHWAY BRIDGES,2019,740355,0,0,0,740355
HB,HB 0167,EAST 169TH STREET OVER METRO NORTH RAILROAD,2019,5000000,0,0,0,5000000
HB,HB 0215,"IMPROVEMENTS TO HIGHWAY BRIDGES & STRUCTURES, CITYWIDE.",2019,0,109426509,220929000,360872000,691227509
HB,HB 0278,"BQE (278-I) FROM SANDS STREET TO ATLANTIC AVENUE, BROOKLYN",2019,0,738887000,404370000,404370000,1547627000
HB,HB 0431,"REHABILITATION OF BRIDGE AT 49TH AVENUE, QUEENS",2019,0,60700999,0,0,60700999
HB,HB 0530,"RECONST & STRUCT REHAB R.R. BDGE PARKSIDE & OCEAN AVE, BROOKLYN",2019,2461999,50550000,0,0,53011999
HB,HB 0548,"RECONST & STRUCT REHAB BDGE AT 21ST AVE, BROOKLYN",2019,5301000,0,38724000,56338000,100363000
HB,HB 0643,"RECONSTRUCTION OF BRIDGE, GERRITSEN INLET-BSHP BKLYN",2019,759576,0,0,0,759576
HB,HB 1010,"RECONSTRUCTION OF EAST 180TH STREET BRIDGE AT PARK AVENUE, THE BRONX",2019,20000000,0,0,0,20000000
HB,HB 1012,"DESIGN COST FOR BRIDGE FACILITIES, CITYWIDE",2019,0,37621692,16774000,6250000,60645692
HB,HB 1013,"PURCHASE OF EQUIPMENT FOR BRIDGES, CITYWIDE",2019,1348789,355000,997000,1017000,3717789
HO,HO 0214,"HOSPITALS, IMPROVEMENTS",2019,163494481,272149000,81726000,35000000,552369481
HB,HB 1014,"BRIDGE FACILITY RECONSTRUCTION AND REHABILITATION, CITYWIDE",2019,3515391,399000,198000,414000,4526391
HB,HB 1023,"BRIDGE REHABILITATION, MILL BASIN BRIDGE,ETC., BROOKLYN",2019,6038560,0,0,0,6038560
HB,HB 1028,"BRIDGE REHABILITATION, E. 14TH STREET, ETC., BROOKLYN",2019,0,0,16951000,0,16951000
HB,HB 1070,"BRIDGE PAINTING, CITYWIDE",2019,10495573,34480000,59008000,94812000,198795573
HB,HB 1078,"RECONSTRUCTION OF HARLEM RIVER DRIVE RAMP, BIN 2-26724-0, MANHATTAN",2019,0,0,0,379574000,379574000
HB,HB 1086,"WESTCHESTER AVE/HUTCHINSON RIVER PKWY BRIDGE, BIN 2-07583-7, THE BRONX",2019,6743953,0,0,0,6743953
HB,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",2019,0,0,0,9292000,9292000
HB,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",2019,0,0,0,33141000,33141000
HB,HB 1103,"RECON OF CONC. VILLAGE AVE BR OVER METRO-NORTH BR., THE BRONX",2019,0,8323000,0,35776000,44099000
HB,HB 1114,"RECON OF TWO HEMPSTEAD AVE BRIDGES OVER CROSS ISLAND PKWY, QUEENS",2019,0,0,0,8495000,8495000
HB,HB 1115,"RECON OF UNION TURNPIKE BRIDGE OVER CROSS ISLAND PKWY, QUEENS",2019,0,0,0,2038999,2038999
HB,HB 1120,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",2019,34266627,23159000,0,0,57425627
HL,HL RN404,STATEN ISLAND UNIVERSITY HOSPITAL,2019,1052,0,0,0,1052
HB,HB 1120,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",2019,0,76576000,0,0,76576000
HB,HB 1127,"RECON PELHAM PKWY BRIDGE OVER HUTCHINSON PKWY, THE BRONX",2019,0,39000,42806000,0,42845000
HB,HB 1131,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",2019,0,0,0,0,0
HB,HB 1131,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",2019,1798510,0,0,0,1798510
HB,HB 1137,"RECON ELLIOT AVE BRIDGE OVER QUEENS BLVD, QUEENS",2019,0,1475000,500000,21131000,23106000
HB,HB 1139,"RECON EAST 183RD ST BR/METRO-NORTH RR, HAR, THE BRONX",2019,0,0,20239000,0,20239000
HB,HB 1141,"RECON METROPOLITAN AVE BRIDGE OVER CONRAIL, QUEENS",2019,0,0,56463000,3274000,59737000
HB,HB 1147,"RECON BROADWAY BRIDGE OVER THE HARLEM RIVER, MANHATTAN",2019,0,3022300,0,0,3022300
HB,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",2019,0,41564743,145659000,0,187223743
HB,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",2019,0,0,154341000,0,154341000
HB,HB 1164,"RECON CITY ISLAND ROAD OVER EASTCHESTER BAY, THE BRONX",2019,0,241209,0,0,241209
HB,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",2019,0,0,0,0,0
HB,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",2019,8118000,0,0,0,8118000
HB,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",2019,10000000,0,0,0,10000000
HB,HB 1172,"RECON EAST 188TH ST BR OVER METRO NORTH RR, THE BRONX",2019,300000,0,27967000,0,28267000
HB,HB 1173,"RECON BR OVER CROSS ISLAND PARKWAY AT 115TH AVENUE, QUEENS",2019,0,0,22101000,0,22101000
HB,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",2019,19782630,0,0,0,19782630
HB,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",2019,29369000,0,0,0,29369000
HB,HB 1205,"RECONSTRUCT 5TH AVENUE BRIDGE OVER LIRR AND SEA BEACH, BROOKLYN",2019,0,34475088,0,0,34475088
HB,HB 1213,"RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN",2019,0,0,44874000,0,44874000
HB,HB 1221,RECONSTRUCTION OF E. 25TH ST PEDESTRIAN BRIDGE OVER FDR,2019,0,1473000,0,7926000,9399000
HB,HB 2934,"RAMP TO NORTHBOUND HENRY HUDSON PARKWAY OVER AMTRAK, MANHATTAN",2019,500000,16089000,32697000,0,49286000
HB,HB 3038,"KANE STREET BRIDGE OVER 278-I (BQE), BROOKLYN",2019,0,0,15442000,0,15442000
HB,HB 4146,"WEST TREMONT AVENUE BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",2019,0,47836000,0,0,47836000
HB,HB 4174,"EAST 175TH STREET BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",2019,33440000,0,0,0,33440000
HB,HB 4310,"BEVERLY ROAD OVER THE BMT SUBWAY IN BRIGHTON, BROOKLYN",2019,0,0,41952000,0,41952000
HB,HB 4529,"WEST 155TH STREET PEDESTRIAN BRIDGE OVER AMTRAK, MANHATTAN",2019,0,13977000,0,0,13977000
HB,HB 4939,CEDARVIEW AVENUE PEDESTRIAN BRIDGE OVER SIRT SOUTH SHORE,2019,0,8823000,0,0,8823000
HB,HB 4982,"ARTHUR KILL ROAD BRIDGE OVER ARTHUR KILL STREAM, STATEN ISLAND",2019,0,0,9000000,0,9000000
HB,HB 6622,678-I SOUTHBOUND TO BELT CROSS ISLAND PARKWAY ACCESS ROAD FROM 678-I,2019,19102806,565000,0,0,19667806
HB,HB 6672,"EAST 174TH STREET BRIDGE OVER THE SHERIDAN EXPRESSWAY, THE BRONX",2019,0,0,126270000,0,126270000
HB,HB 7003,"EAST 156TH STREET BRIDGE OVER ACCESS TO HOUSING, THE BRONX",2019,0,0,0,57500000,57500000
HB,HB 7055,"167TH STREET PEDESTRIAN BRIDGE OVER LIRR, QUEENS",2019,0,0,10342000,0,10342000
HD,HD 0001,AFFORDABLE NEIGHBORHOOD COOPERATIVE PROGRAM,2019,20712773,59366000,42503000,36172000,158753773
HL,HL QN305,NEW YORK AND PRESBYTERIAN HOSPITAL,2019,195,0,0,0,195
HD,HD 0004,PRESERVATION OF VERY LOW-INCOME AND EXTREMELY LOW-INCOME HOUSING,2019,109287000,111472000,113700000,115974000,450433000
HD,HD 0005,MULTIFAMILY PRESERVATION LOAN PROGRAM,2019,0,15306391,19919000,13747000,48972391
HD,HD 0009,ARTICLE 7A FOR ANTI-ABANDONMENT,2019,833426,5737000,6117000,5412000,18099426
HD,HD 0010,LOW INCOME HOUSING TAX CREDIT (LIHTC) PROJECTS,2019,48288236,113532000,112150000,104104000,378074236
HD,HD 0051,"SMALL HOMES DEVELOPMENT, SCATTER SITE",2019,7302450,15453000,14764000,14146000,51665450
HD,HD 0090,COMPUTER PURCHASES AND UPGRADE,2019,0,5805160,15645000,10146000,31596160
HD,HD 0094,RECONSTRUCTION OF H.P.D. OFFICE SPACE,2019,0,0,0,0,0
HD,HD 0107,ARTICLE 8A LOAN PROGRAM,2019,0,24542604,44261000,40662000,109465604
HD,HD 0109,SUPPORTIVE HOUSING REHAB,2019,6688002,7051000,2051000,0,15790002
HD,HD 0110,"PARTICIPATION LOAN PROGRAM (PLP), REHAB",2019,71945829,104668000,121764000,118451000,416828829
HD,HD 0153,"EDGEMERE, ASSOC. COSTS, QUEENS",2019,858925,0,0,0,858925
HD,HD 0157,ASSOCIATED COSTS - OTHER SITES,2019,0,0,0,4608631,4608631
HD,HD 0161,"SPRING CREEK, ASSOC. COSTS, BROOKLYN",2019,0,0,0,0,0
HD,HD 0200,"THIRD PARTY TRANSFER PROGRAMS, LL #37, CITYWIDE",2019,0,5345018,47132000,44677000,97154018
HD,HD 0201,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",2019,126857064,73489000,59224000,50774000,310344064
HD,HD 0207,"HUD MULTI-FAMILY PROGRAM, CITYWIDE",2019,39151636,36788000,34743000,32019000,142701636
HD,HD 0212,LOW INCOME RENTAL PROGRAM,2019,14700197,195100000,183320000,163374000,556494197
HD,HD 0213,MIXED INCOME RENTAL - LOW,2019,0,0,66022729,86778000,152800729
HD,HD 0215,MULTIFAMILY HOMEOWNERSHIP PROGRAM,2019,0,0,0,0,0
HD,HD 0217,NEIGHBORHOOD HOUSING SERVICES LOAN PROGRAM (NHS),2019,34000,666000,0,0,700000
HD,HD 0219,NEW CONSTRUCTION OF VERY LOW-INCOME AND EXTREMELY LOW-INCOME HOUSING,2019,98357000,100324000,102331000,104378000,405390000
HD,HD 0222,SUPPORTIVE HOUSING,2019,57475679,143487000,141687000,117000000,459649679
HD,HD 0222,SUPPORTIVE HOUSING,2019,0,13711416,27000000,27000000,67711416
HD,HD 0223,"SMALL HOMES DEVELOPMENT, LARGE SITES",2019,422000,8128000,8554000,8786000,25890000
HD,HD K082,AUTO / OTHER PURCHASES,2019,772,0,0,0,772
HD,HD MN965,GOUVERNEUR GARDENS HOUSING CORPORATION,2019,130000,0,0,0,130000
HH,HH 0105,PURCHASE OF EQUIPMENT FOR USE BY THE DEPARTMENT OF HOMELESS SERVICES,2019,0,10141187,0,3178000,13319187
HH,HH 0112,CONGREGATE FACILITIES FOR HOMELESS SINGLE ADULTS,2019,49227133,106390000,31234000,19424000,206275133
HH,HH 0115,CONGREGATE FACILITIES FOR HOMELESS FAMILIES,2019,6742473,41674000,46175000,39947000,134538473
HH,HH M112,"FACILITIES FOR THE HOMELESS, MANHATTAN",2019,0,0,1000,0,1000
HL,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",2019,0,73996228,55667000,34328000,163991228
HL,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",2019,2180898,967000,1800000,1740000,6687898
HL,HL 0083,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",2019,0,9181594,9869000,2010000,21060594
HL,HL KN254,MAIMONIDES MEDICAL CENTER,2019,387,0,0,0,387
HL,HL KN328,PLANNED PARENTHOOD OF NEW YORK CITY,2019,128,0,0,0,128
HL,HL MN328,PLANNED PARENTHOOD OF NEW YORK CITY,2019,83,0,0,0,83
HN,HN 0206,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",2019,0,22788801,28262000,23164000,74214801
HN,HN K250,"KINGSBOROUGH COMMUNITY COLLEGE, BROOKLYN",2019,463734,0,0,0,463734
HN,HN K300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, BROOKLYN",2019,256219,0,0,0,256219
HN,HN M300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, MANHATTAN",2019,0,109087,0,0,109087
HN,HN Q004,"COMMUNITY COLLEGES' IMPROVEMENTS, QUEENS",2019,1998752,0,0,0,1998752
HN,HN Q300,"CONSTRUCTION, IMPROVEMENTS TO CUNY SENIOR COLLEGES AND LAW SCHOOLS, QN",2019,2411933,0,0,0,2411933
HN,HN R001,"SITE ACQUISITION, CONSTRUCTION, RECONSTRUCTION, IMPROVEMENTS, COMPREHE",2019,0,0,0,8958,8958
HN,HN X300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, THE BRONX",2019,92487,6000,0,0,98487
HO,HO 0214,"HOSPITALS, IMPROVEMENTS",2019,0,152636939,347654000,318745000,819035939
HO,HO 0390,PURCHASE OF EQUIPMENT HHC FUNDS.,2019,205,0,0,0,205
HO,HO 0410,"EMERGENCY MEDICAL SERVICES, EQUIPMENT",2019,0,23537400,33075000,59220000,115832400
HO,HO 0410,"EMERGENCY MEDICAL SERVICES, EQUIPMENT",2019,476349,0,0,0,476349
HO,HO 0412,CONSTRUCT EMS STATION,2019,7713000,6136000,2000000,0,15849000
HR,HR 0109,PURCHASE OF EQUIPMENT FOR USE BY HUMAN RESOURCES,2019,190330,98000,100000,0,388330
HR,HR 0110,PRIVATE BRANCH EXCHANGE,2019,218633,624000,635000,0,1477633
HR,HR 0110,PRIVATE BRANCH EXCHANGE,2019,84702,421000,428000,0,933702
HR,HR 0110,PRIVATE BRANCH EXCHANGE,2019,0,112113,234000,0,346113
HR,HR 0120,COMPUTER EQUIPMENT,2019,14602760,0,0,0,14602760
HR,HR 0120,COMPUTER EQUIPMENT,2019,3486421,0,0,0,3486421
HR,HR MN128,"THE DOE FUND, INC.",2019,1000,0,0,0,1000
HR,HR MN833,CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES,2019,0,0,274,0,274
HR,HR MN890,THE AFTER SCHOOL CORPORATION.,2019,121,0,0,0,121
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2019,0,0,42354143,10950000,53304143
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2019,5434000,0,600000,0,6034000
HW,HW 0001K,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., BROOKLYN",2019,3756315,45819000,117030000,18050000,184655315
HW,HW 0001K,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., BROOKLYN",2019,5238297,29746000,1520000,0,36504297
HW,HW 0001M,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS ETC., MANHATTAN",2019,19900494,28844000,40938000,11358000,101040494
HW,HW 0001M,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS ETC., MANHATTAN",2019,0,54798146,57014000,45432000,157244146
HW,HW 0001Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2019,83435282,178528000,224263000,49080000,535306282
HW,HW 0001Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2019,0,0,463389,0,463389
HW,HW 0001Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2019,24437684,19746000,215000,0,44398684
HW,HW 0001R,"CONSTRUCTION AND RECONSTRUCTION OF HIGHWAYS, ETC., S.I.",2019,0,0,16968214,11857000,28825214
HW,HW 0001X,"HIGHWAY REPAVING, BRONX",2019,0,38286496,18168000,54000000,110454496
HW,HW 0001X,"HIGHWAY REPAVING, BRONX",2019,865000,12969000,4286000,0,18120000
HW,HW 0002M,"RESURFACING OF STREETS, MANHATTAN",2019,47814644,7810000,7810000,7966000,71400644
HW,HW 0002Q,"RESURFACING OF STREETS, QUEENS",2019,8173234,0,0,0,8173234
HW,HW 0002R,"RESURFACING OF STREETS, STATEN ISLAND",2019,2867609,0,0,0,2867609
HW,HW 0003,IMPROVEMENTS TO HIGHWAY DEPARTMENT FACILITIES,2019,9017951,110787000,3033000,11219000,134056951
HW,HW 0061,LAND ACQUISITION FOR STREETS & SEWERS,2019,6477882,6640000,0,0,13117882
HW,HW 0061,LAND ACQUISITION FOR STREETS & SEWERS,2019,20999,0,0,0,20999
HW,HW 0200,SIDEWALK CONSTRUCTION,2019,211656433,114977000,111237000,111222000,549092433
HW,HW 0200,SIDEWALK CONSTRUCTION,2019,0,0,133976,0,133976
HW,HW 0200,SIDEWALK CONSTRUCTION,2019,11751569,11062000,11062000,11062000,44937569
HW,HW 0211,REHABILITATION OF STEP STREETS,2019,0,0,2661499,0,2661499
